,verified,votes,text,headlines,base_label,clean_label
0,0,1,"Today I received  1 Fl. Oz, Natures Balance AlkaMAX alkaline booster liquid unflavored (formally TriMedica) a glass brown bottle with eye dropper.<br />Supplement Facts; Serving Size: 10 Drops (Approx. 0.5 mL). Servings per Container: Approx. 60<br />Amount Per Serving % Daily Value<br />Magnesium (as Magnesium Chloride) 40 mg 10%<br />Chloride (as Magnesium Chloride) 64 mg 2%<br />Other Ingredients: Deionized water and trace mineral complex.<br />Directions: Add 10 drops to 8 oz. of water or other beverage daily as needed or as directed by your health care practitioner. Store in a cool, dry place.<br /><br />I have not used product as of yet with changed ingredients of original/as shown in AlkaMax alkaline support white squeeze bottle.<br />but had to rate to post...heck this new may be better for all I know.",*Product sent not as shown,1,1
1,0,0,This does not work for me like it said on website.  I was very disappointed with it.,Ability Superstore Can-Pull Including Soda-Snap,0,0
2,1,0,"I have used Cross reading glasses for a couple of year and love them.  I ordered a couple of pairs to have as extras, but they were sold out.  They promptly credited a refund to my credit card.",They were sold out,2,2
3,1,3,"My hair is light/medium brown and I just wanted to cover a few grays.  I purchased light brown. I found application easy with no smell.  However, my hair is dark brown now.  I might purchase again, but I will go 2 shades lighter next time.  The jury is still out - I will see how it does over the next few days.  I hope it does not get darker.  The grays are covered, but it is day 1.",Runs very dark....,1,2
4,0,3,"Didn't include any pouch. Its wonderful and effective but no \\""satin pouch\\"" or any pouch to speak of.",Liar...,1,2
5,0,0,"One, take Ultrafire out of the name, its a lie. Two, take 1000 lumen out of the name, its a lie. Three, take SOS out of the description, its a lie and replace it with OSO. Other than that, for $12, I can't complain.",Its a lie.,1,2
6,1,0,"Its ok. Nothing special. The sound is little weird because so much of it is blocked by the pillow. The sound quality also depends on the pillow. If the pillow is the space-fabric the sound travels little better, while in traditional feather pillows you need to adjust the speaker's location.<br />I also wish the cord was little bit longer. Having my iPod on the bed makes it easy for me to knock it off if I fall asleep.",Its ok,1,2
7,1,72,"I bought this last week so my wife, who has a broken ankle, could summon me from upstairs where I work.<br /><br />Initially we were very pleased with the pager system.  It's quite complete down to having mounting screws and adhesive tape should you want a permanent mount for the call buttons.  The \\""ding dong\\"" tone is quite loud enough for me to hear and I'm hearing impaired.  The \\""alarm\\"" call will wake the dead.  The unit demonstrated enough range to cover our entire two story 2500 sq ft home. We put one transmitter button by my wife's side of the bed and adhesive mounted the other to her walker.<br /><br />Within two days problems arose.  The receiver belt clip is very poorly done and will not hold.  When the receiver falls to the floor the battery compartment lid flys off and the two batteries scatter.  After the third or fourth fall, the connectors to the batteries started coming loose.<br /><br />Yesterday the transmitter by my wife's bed stopped functioning reliably.  Now, the button has to be pressed just so in just the right spot, off to one side or it won't transmit.  The red light that's supposed to indicate successful transmission will light even though no transmission occurred.  When she wakes up and needs me to come help her up so she can take care of business, she doesn't have her glasses on so finding the right spot on the transmitter button to press isn't in the cards.  She's reduced to yelling and hoping I hear her.<br /><br />We've put the more reliable button from the walker by her bed and we test both both buttons daily.  Tomorrow I'm contacting the manufacturer.  I've also bought a pocket camera case to hold the receiver in the hope of prolonging its life.<br /><br />All in all, this product is a very good idea spoiled to a large extent by failure to attend to the details.<br /><br />Feb 05 Update<br />I called the only phone number I had, which was for the manufacturer, and had one of the best customer support experiences ever.  The manufacturer's customer support person relayed me over to the seller's customer support.  That person immediately said they'd overnight a replacement system to me.  My phone call was in the late afternoon PST.  Before noon the NEXT DAY, the replacement system was at my front door.  It turns out the transmitters and the receiver are frequency bonded so they couldn't just replace the button transmitter.<br /><br />The new system works OK.  The buttons are pretty sensitive to how they're pushed, which isn't good but we've learned their foibles and have mounted them so they're easier to push correctly.  The camera case works well to carry the receiver.  I never turn the receiver off so I can't forget to turn it on.  Even if I forget to clip it to my belt loop and leave it on the kitchen table (its standard parking place if I'm going out of the house), I can hear it upstairs.omer support.  That person immediately said they'd overnight a replacement system to me.  My phone call was in the late afternoon PST.  Before noon the NEXT DAY, the replacement system was at my front door.  It turns out the transmitters and the receiver are frequency bonded so they couldn't just replace the button transmitter.  The new system works OK.  The buttons are pretty sensitive to how they're pushed, which isn't good but we've learned their foibles and have mounted them so they're easier to push correctly.  The camera case works well to carry the receiver.  I never turn the receiver off so I can't forget to turn it on.  Even if I forget to clip it to my belt loop and leave it on the kitchen table (its standard parking place if I'm going out of the house), I can hear it upstairs.",A Good Idea But Poor Attention to Vital Details,1,2
8,0,0,"Perhaps I'm not using it quite right, but it's somewhat inconsistent with it's reading... perhaps not to it's detriment, but it would be more comforting to know it will register the same temp on multiple &#34;swipes&#34;.<br /><br />It is however, extremely easy to use, assuming you can get your child's head to be somewhat still...  I suppose the 400-500 dollar versions of this that our Dr. uses would be more accurate and consistent.  So really can't complain for the money spent.",Not sure how consistent it is...,1,1
9,0,0,"Purchased this as a secondary scale to track daily weight as one of us was out for travel and we only had one scale in the house. This scale consistently reads .4 lbs above our primary scale, which also indicates body fat, body water, bone and muscle [[ASIN:B004L6NTHU EatSmart Precision GetFit Digital Body Fat Scale w/ 400 lb. Capacity & Auto Recognition Technology]], but for a simple, low cost weight only scale that could be thrown in the checked luggage this fit the bill (it is not billed as a travel scale, a tad heavy  at 4+ pounds). The glass surface is smooth glass finish on the top surface and back-painted white. As another reviewer pointed out, the color of the scale reads green, like the color seen when looking at the polished edge of a piece of non-low-iron glass, in difference to the rendition of the stock product photos. In our experience with this product, it is good scale for the price point. We can still track the delta in weight, even though it reads a tad higher than our primary scale.",Okay for its price point for a second scale in the house,1,2
10,0,0,The scale looks ok. But the weight id different each time I step on it. (Within minutes)It varies up to four pounds. If you just want a ball park number I guess this is fine.,Get what you pay for.,1,1
11,0,0,"This product is about average. If you try using this as a quick buzz your head and out the door, that's not going to work out for you. The different length attachements are flimsy and may leave patterns in your hair as well. I will only use this to buzz my hair all the way down to the first level because of the patterns it leaves behind.","worth the price, but no more",1,1
12,1,25,"Good scale, functions adequately for our purposes, however I had hoped the base would be a little more weighty to keep the scale stable. We have a 2 year old, and he could EASILY topple this scale sideways. Heck, a gust of wind might do it, even. Straight out of the box, I noticed the indicator arm housing was bent. There was no package damage inside or out, so it had to have occurred before or during packing, not shipment, which makes me question Detecto's quality control standards. Fortunately the bend was not bad, and easily bent back by hand, which does not speak well for sturdiness of materials in the design, either.<br />The zero seems to set and stay well, but I think they should have made the turn-screw with a Phillips head socket or included a knob of some type for adjusting the zero; The flat head slot is awkward for older hands to maintenance.<br />Otherwise, functionality is very good, we verified its accuracy with other scales and specific dumbbells of known weights.<br />For the price, it is more than adequate, and if you have none of the issues I mentioned above, I could see someone rating this scale as high as 4 stars, but not five. It's just not that hardy of a construct.",Detecto 339 needs improvement,1,2
13,1,1,This product has become hard to find locally.  We like it because it is a refill package for our filter frame....less waste,the green choice,2,2
14,1,7,"I was trying to duplicate a pair of scissors (definitely Pfeilring) purchased some 15-20 years ago.  Although the picture seemed very similar, these were not the same, having much thicker blades.  For this reason, I am not that happy with the purchase.",Cuticle Scissors,0,1
15,0,1,Totally useless . . . no suction at all.  Had to pay return postage.  My 9 month old could pick it up with as much force as a 9 month old normally has.  Doesn't work for any purpose I can see.,Not good !,0,1
16,1,25,"I HAVE PURCHASED 2 PRIDE GOGO ULTRA SCOOTERS OVER THE PAST 8 YEARS-BOTH FROM<br />SPIN LIFE.  tHESE ARE SUPPOSED TO BE TRAVEL SCOOTERS AND DO BREAK DOWN QUICKLY<br />FOR TRANSPORT AND YES I DID HAVE A HELL OF A LOT OF FUN IN THEM BUT AND THIS<br />IS A BIG BUUUUTTT.  eVERYTHING KEPT BREAKING, SOME TYPE OF DRIVE, SOMETHING THAT<br />MADE THE BREAKS WORK AND EVERYTIME I CALLED SPIN LIFE AND GOT A BAD ATTITUDE,<br />INDIFFERENCE, OVERWHELMING LACK OF CONCERN AND I ENDED UP WAITING FOR A LONG<br />TIME FOR THE SERVICE AGREED UPON WHEM PURCHASED.  I AM NOW GOING TO ORDER<br />ANOTHER SCOOTER 'CAUSE THE LAST ONE DIED A QUIET DEATH IN MY GARAGE .  THIS<br />TIME I AM GOING TOP OF THE LINE AND NOT PRIDE AND SEE IF MY LUCK CHANGES. SURELY \<br />IF  I  SPEND MORE MONEY I SHOULD DO BETTER.  I ALSO PLAN TO SEE IF COMSUMER<br />REPORTS RATES THESE ON DEPENDABILITY. IF YOU ARE PLANNING ON BUYING ONE<br />I WISH YOU LUCK. THERE DOES NOT SEEM TO BE ANY REGULATIONS REGARDING THESE ITEMS..",You get what  you pay for these days.,0,1
17,1,10,"This is basically just an expensive folded handkerchief -- and one that looks very strange when you put it on:  The product's picture does not show it, but the mask sticks out much further than it needs to.  (It looks kind of like an inverted duck's beak!!).",Not good!,0,1
18,1,2,"I bought this from ebay and after about two weeks, a screw fell out while I was using resulting in a fall that gave me a terrible briuse on my hip.  I contacted the company that I bought it from and was told these were recalled and I could get a refund. I then purchased the Universal Knee walker, also from Drive medical for less money and it is fantastic! It is not steerable, but that didn't matter as much as the fact that it was so lightweigh and folds up small so that I can ride right up to my car, sit down, and pull it into the car!",Don't buy this!,0,0
19,0,0,Deflates from some where after first use Couldn't've even tell where some where on the collar. Chokes you instead of feeling neck stretched.,piece of junk,0,1
20,0,1,so far another scam...,NOT SO MUCH !!,0,0
21,0,0,Does not do what they say it will I am very pissed I drilled a hole in furnace for this piece of Chinese junk very poorly made the tube is ok though.. Lol,Crap,0,1
22,0,1,the pill slot covers separate into 4 pieces<br />if they separate into two parts would give<br />5 stars,Two Stars,1,1
23,0,8,My expectations were way too high for this product. It taste like regular cheap hot cocoa. Save your money.,Save your money.,0,1
24,0,0,"I was not happy with this injector. It either rolled to tight or  so loose that the head kept falling off, (very dangerous). Could not return it because I kept using it to try and get it right with no results. Can it be returned if I used it?",I was not happy with this injector,0,1
25,1,2,"Didn't even work for 1 minute before it stopped. When it did run for a few seconds, it had very little power. Complete rip off.",Waste of Money,0,2
26,0,13,"Very disappointing and I had to return it. The rigid brush stem is difficult to move with the curve of the jaw. The motion of the brush is side-to-side, the opposite of what the American Dental Assoc recommends. Ideal brushing is supposed to be from the base of the tooth in a vertical motion, not horizontal. I went back to my old electric toothbrush, which I appreciated more after the hydrabrush. I will investigate the market for a new er model or super brush that makes my mouth feel like I just left the dental hygenist.",Very disappointing and I had to return it.,0,1
27,0,0,"I was expecting to get a pill crusher, but this product failed to do the job.  It does not have the strength to crush even the smallest pill.  I'm glad it wasn't too expensive.  Do not buy this.",Bad choice,0,1
28,0,0,the product came to me DAMAGED venezuela,One Star,0,1
29,0,2,The picture that I ordered from showed a clear lid exactly like one I was replacing.  The one I got has a solid lid so that you cannot see if the dispenser if full or empty for the coming days.  I do not like this one and do not know what to do with it.  I have kept using my other one that is slightly broken but better than this.,... that I ordered from showed a clear lid exactly like one I was replacing,0,0
